DataSources_ID,Source,Notes
BD99668D-2931-4577-9C90-0351CAF2CE5A,adding symbols for strike and slope,none
27502A41-E432-456A-B0F3-564DCD520507,Anderson 1989 Proterozoic belts,"Contacts from Anderson 1989 figures, adjusted by SMR using NAIP2007 1m imagery"
610C63D0-751A-4D49-8A9C-9DD489FB4D3A,Assign legend symbol to polygons,none
A7BD1EFB-E2DE-40C8-B631-DA117700CC9B,AY BLM AZ-88-BC Aerial Photograph Digitizing,"Digitizing Outcrop Boundary Traces using BLM natural color aerial photographs. Project number AZ-88-BC. Date: 9-19-88. Scale: 1:24000. Photos 1-2-2 to 4, 1-3-11 to 13."
D24541C5-077C-4FC4-9074-2B660EC24CFB,AZGS 2005 Fairbanks quad,Tracking record to identify data from Fairbank quad compilation Contributions of individuals not recorded
7F3A64A8-A829-498E-A49C-9A923F3D4703,BarlettDam_AZGS_OFR96_22,Teresa Arrospide Attribution of geological units
C90A6E2B-F382-48A6-B377-162DE9D4A817,"based on Bates & Jackson, 1997","Term based on definition in Bates and Jackson, 1997, AGI Glossary of Geology"
C3D85762-D54B-4648-A3A3-2091A8859618,"Bates & Jackson, 1987","Definition from  Bates and Jackson, 1987, AGI Glossary of Geology"
AE1B3732-FD99-4B4A-AE67-7343439A1D11,Black Canyon City Import to AZGeology,"RJC work to import DGM-64 from access database to enterprise database. Includes making legends, loading data, creating MapDescriptions/Layouts/OccurSymbol entries, and linking polygons to Legend Items"
E4DDAA3C-B1E9-457D-A6D7-79FDB8BAA4E7,CAF 2005 Happy Valley Field Data,"Imported from spreadsheet by SMR, RJC - 5/6/08"
D08BD808-121A-4320-86C6-A05BCA53ED61,CAF Hwy 95 Bedrock Revision,12/11/07 CAF revised bedrock mapping along Hwy 95 corridor
BD52E43F-9DC3-428B-B671-C85CAB4FDB32,CAFFieldMapping2002-2003,None
71F1FD92-2839-4C1F-B1E2-5AC569F6E8BF,CaveCreek_AZGS_OFR97_01,Teresa Arrospide Attribution of geological units
1EA615E0-0344-492F-90F4-85117A19D002,CF digitize lines for Maverick Mtn Quad,"Chris Fuentes Digitize lines from Maverick Mtn 24,000 scale quadrangle for Tonto NF project"
615F7726-7973-49B4-A8ED-8526CCFFD95C,CGI vocabulary 201211,"Definition from CGI 201211 version vocabularies; see http://resource.geosciml.org/static/vocabulary/cgi/201211/ for html listings, rdf, Excel and csv text files with vocabularies, definitions, and source citations."
91EFCA0F-2F7E-4550-B728-831E6067AFEE,CMF Adams Mesa OFR97-10 digitize,Heads up digitize from scan
84BDA744-59A1-4187-AFE9-9D48A6B2DA6A,Create polygons from Reno Pass Outcrop Boundary Trace,TA
BB8737ED-3491-40A5-B223-E8F425A667D6,DeWitt Prescott NF map,"Contacts from DeWitt Prescott NF map, USGS. Geologic Map of the Prescott National Forest and the Headwaters of the Verde River, Yavapai and Coconino Counties, Arizona, by Ed DeWitt, Victoria Langenheim, Eric Force, R.K. Vance, P.A. Lindberg, and R.L. Driscoll, USGS Scientific Investigations Map, Scientific Investigations Map 2996: Denver, Colorado, U.S.A., United States Geological Survey: http://pubs.usgs.gov/sim/2008/2996.   SMR digitize, reconcile with photogeology."
69B124BA-CA81-4062-A92C-48F8AE23C8F3,Editing Black Canyon City,Final edits for Black Canyon.  Create a few polygons.  Edit structure placement.  Change name of some polygons. Charles Ferguson
CEB3515D-EA7A-423A-AEF5-C8CB00731C77,FergusonSkotnicki1995 FlorenceJunction,"HJI assign tracking records to features imported from NE Phoenix 24K compilation. Original tracking information was lost in transfer from coverages. Data were originally digitized from scanned georeferenced page size tiles of the source maps in ArcInfo, using ArcEdit, converted to geodatabase and loaded into the AZGS root repository. Data from Ferguson and Skotnicki (1995)"
077C2539-47BB-49D1-AD97-4D93BC828481,FortMcDowell_McDowellPeakOFR96_11,Attributing polygons with the proper geological units
ABF51196-75A7-48FF-88D3-507E505AF3CE,FountainHill_MountMcDowell_OFR95_16,Attributing the polygon units with properly geological units.
060435F1-48DA-4C35-9FF2-EC19D5EA0B44,"Gillespie and Styles 1999, LeMaitre et al. 2002","Gillespie and Styles 1999, LeMaitre et al. 2002, via CGI simple lithology vocabulary"
4364EB09-D68E-4ABE-A0B3-4A2A02E50D5A,HJI Assign Tracking,"HJI assign tracking records to features imported from NE Phoenix 24K compilation. Original tracking information was lost in transfer from coverages. Data were originally digitized from scanned georeferenced page size tiles of the source maps in ArcInfo, using ArcEdit, converted to geodatabase and loaded into the AZGS root repository. Data from Gary Huckleberry (1993)"
"Superstition Mtns SW, Florence Junction, and Magma Quads.",,
973AF9FB-DFAF-452C-861F-E0DF684A6F57,HJI Assign Tracking Record,"HJI assign tracking records to features imported from NE Phoenix 24K compilation. Original tracking information was lost in transfer from coverages. Data were originally digitized from scanned georeferenced page size tiles of the source maps in ArcInfo, using ArcEdit, converted to geodatabase and loaded into the AZGS root repository. Data from Gary Huckleberry (1994)"
1287E581-5196-41AD-AA23-DA8CBCA281DE,HJI Assign Tracking Weavers Needle,"HJI assign tracking records to features imported from NE Phoenix 24K compilation. Original tracking information was lost in transfer from coverages. Data were originally digitized from scanned georeferenced page size tiles of the source maps in ArcInfo, using ArcEdit, converted to geodatabase and loaded into the AZGS root repository. Data from Gary Huckleberry (1993)"
D348C2A3-BB72-4705-97FF-69D3085827A9,HJI AssignTracking Records,"HJI assign tracking records to features imported from NE Phoenix 24K compilation. Original tracking information was lost in transfer from coverages. Data were originally digitized from scanned georeferenced page size tiles of the source maps in ArcInfo, using ArcEdit, converted to geodatabase and loaded into the AZGS root repository. Data from Skotnicki and Ferguson (1996)"
4F4CC2CB-2100-4F6A-906A-8D898960C65F,Huckleberry SuperstitionMtns 1993,"HJI assign tracking records to features imported from NE Phoenix 24K compilation. Original tracking information was lost in transfer from coverages. Data were originally digitized from scanned georeferenced page size tiles of the source maps in ArcInfo, using ArcEdit, converted to geodatabase and loaded into the AZGS root repository. Data from Gary Huckleberry (1993)"
3029FBA6-D79F-4174-B6EA-6BC0B2F1C521,HumboldtMountain_OFR98_11,Teresa Arrospide Attribute geological units.
8BC341BB-FF0B-4E47-95C0-B284273E362F,IUGS SCMR 2007,"IUGS SCMR 2007 (http://www.bgs.ac.uk/SCMR/), via CGI simple lithology vocabulary"
585DB2B2-E805-4027-BBB2-D129CA009252,"Jackson 1997, SLTTs 2004","Jackson 1997, SLTTs 2004, via CGI simple lithology vocabulary"
FA28E1D8-F71E-49FE-A64B-36F19894BDEF,JCraigueImplementationAdditions05_2004,Database construction and testing
