Glossary_ID,Term,Definition,DataSources_ID
00000000-0000-0000-0000-000000000000,Not Assigned,This is a placeholder item for new objects where the appropriate item has not yet been selected.,FA28E1D8-F71E-49FE-A64B-36F19894BDEF
024A2B99-EED6-4634-AB59-992C3E75E6BF,Diorite,"Dioritic rock with Q between 0 and 5, P/(A+P) greater than 90, no feldspathoid, and plagioclase more sodic than An50.",437847DC-D73F-476A-BD7B-80939C004691
027FAD35-5BEA-4742-882A-8B5ADB1850CD,Carbonate sedimentary rock,"Sedimentary rock in which at least 50 percent of the primary and/or recrystallized constituents are composed of one (or more) of the carbonate minerals calcite, aragonite, magnesite or dolomite.",406ED769-549E-43FF-9617-21CDDA94F9BD
03207CC5-B68C-415B-B558-319FCBD25089,Generic tuff,"A general term for a consolidated pyroclastic rock in which less than 25 percent of the rock (volumetrically) is composed of pyroclasts greater than 64 mm in diameter (diameter of volume equivalent sphere). Includes lapillistone, lapilli tuff and ash tuff",F49FE520-9533-4C15-BD9A-F6208F1638C8
0A4662B4-EB7D-4E58-BF1C-6844600DFD82,Breccia,"Breccia, unspecified genesis (fault-related, sedimentary/mass wasting, impact)",71E8B412-FAF7-4B1E-A56C-5019DF9AEB8F
12B42959-F738-4B9A-BAE2-808F2941CA84,Diamicton,"non sorted or poorly sorted terrigenous sediment that consists of sand and /or larger particles in a muddy matrix. Size distribution is commonly bimodal or polymodal, with one or more modes in the coarse-grain range and one or more in the silt-clay size r",6847B1D0-2361-4F92-9923-69022941CAFB
140C9A4B-4755-43D1-8C57-EBEE2C105A9E,Phaneritic igneous rock,Igneous rock in which the framework of the rock consists of individual crystals that can be discerned with the unaided eye. Bounding grain size is on the order of 32 to 100 microns. Igneous rocks with 'exotic' composition are excluded from this concept.,660BF4C7-0254-491C-BA47-B210F2AC10DA
1B2AD691-FD95-41AD-93E3-D71E20928829,Non clastic siliceous sediment,"Sediment that consists of at least 50 percent silicate mineral material, deposited directly by chemical or biological processes at the depositional surface, or in particles formed by chemical or biological processes within the basin of deposition.",44C04E83-3E28-4A32-A22C-D3C169F27FE6
1B4875F3-1D08-4F5F-B83D-43935584B42B,Flow foliation,"Foliation interpreted to be due to flow in a body of magma or lava. Includes flow banding in lava, and foliation defined by aligned crystals in a phaneritic igneous rock.",59407201-A0F6-4001-8C4D-9334BB43E715
1C8A85A0-AF7B-4C1F-BA09-28DF62A4DAAF,Lime sediment,Sediment greater than 50 percent of whose primary or re-crystallized components (except carbonate lithoclasts) consist of calcium carbonate mineral (calcite or aragonite). Sediment containing greater than 50 percent carbonate lithoclasts is terrigenous-cl,E0D546F7-F39D-445D-8A9C-EC35356A887C
1FC117BF-206E-4C24-B8D1-6B60B08A46D1,Cleavage,A planar tectonic foliation in a rock characterized by a tendency for the rock to split along a regular set of parallel or sub-parallel closely spaced surfaces. Cleavage is a more general term than schistosity because schistosity need not be present in or,31D01DA2-F573-44A4-9393-A4C15C560608
